x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.31,0.40,4,0.928340,0.931,0.870949,0.891,0.668592,0.675,0.780177,0.774,0.549905,0.556,0.108522,0.157
0.31,0.40,5,0.956391,0.961,0.895232,0.895,0.791044,0.813,0.825733,0.805,0.659233,0.655,0.152577,0.200
0.31,0.40,6,0.973496,0.982,0.912140,0.912,0.895788,0.901,0.862523,0.850,0.743133,0.733,0.198412,0.246
0.31,0.40,7,0.983905,0.989,0.924461,0.923,0.955897,0.965,0.891857,0.882,0.806487,0.796,0.244663,0.282
0.31,0.40,8,0.990231,0.992,0.933792,0.945,0.982826,0.985,0.915055,0.905,0.853985,0.837,0.290355,0.322
0.24,0.38,1,0.651707,0.756,0.638552,0.731,0.478618,0.584,0.574414,0.690,0.082813,0.157,0.008906,0.044
0.24,0.38,2,0.780388,0.847,0.744566,0.815,0.497808,0.628,0.668410,0.761,0.241078,0.322,0.031637,0.089
0.24,0.38,3,0.863723,0.911,0.809376,0.868,0.543676,0.643,0.748465,0.826,0.403103,0.479,0.063709,0.136
0.24,0.38,4,0.916212,0.946,0.850630,0.898,0.635006,0.727,0.813103,0.867,0.543328,0.597,0.101969,0.182
0.24,0.38,5,0.948764,0.965,0.878210,0.923,0.764306,0.830,0.863209,0.903,0.655980,0.694,0.144117,0.227
0.24,0.38,6,0.968771,0.975,0.897560,0.937,0.880212,0.913,0.900903,0.930,0.743020,0.772,0.188449,0.274
0.24,0.38,7,0.981002,0.988,0.911737,0.939,0.948783,0.968,0.928660,0.953,0.808818,0.825,0.233693,0.316
0.24,0.38,8,0.988456,0.992,0.922514,0.944,0.979966,0.987,0.948802,0.970,0.857949,0.877,0.278901,0.360
0.34,0.13,1,0.675761,0.749,0.663292,0.730,0.509410,0.594,0.599856,0.671,0.081250,0.147,0.009471,0.045
0.34,0.13,2,0.796764,0.841,0.763244,0.827,0.528019,0.603,0.685670,0.721,0.222849,0.292,0.033247,0.087
0.34,0.13,3,0.874313,0.902,0.823805,0.865,0.572264,0.663,0.756258,0.769,0.358673,0.405,0.065853,0.135
0.34,0.13,4,0.922877,0.950,0.862166,0.889,0.659505,0.745,0.811769,0.815,0.473216,0.497,0.103370,0.172
0.34,0.13,5,0.952895,0.967,0.887737,0.924,0.781411,0.836,0.854306,0.867,0.566194,0.570,0.143053,0.206
